#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 4096  8192     0     0  6.45853e-01  2.13015e-02  1.46948e-02  5026
 4096  8192     0     0  3.74958e-01  2.50252e-02 -1.34286e-02  1108
 4096  8192     0     0  5.13498e-01  2.13070e-02  1.64338e-02  7346
 4096  8192     0     0  1.00043e+00  2.27662e-02 -1.68729e-02  7614
 4096  8192     0     0  8.22344e-01  2.36498e-02 -1.37748e-02   382
 4096  8192     0     0  2.73559e-01  2.27157e-02  1.79229e-02  5908
 4096  8192     0     0  4.04183e-01  2.19213e-02 -1.69369e-02  7064
 4096  8192     0     0  1.26519e+00  2.26110e-02 -1.93698e-02  5012
 4096  8192     0     0  2.18293e+00  2.28474e-02 -1.29050e-02    56
 4096  8192     0     0  2.33167e+00  2.14455e-02  1.89862e-02  5144
 4096  8192     0     0  5.36685e-01  2.02924e-02  1.38339e-02  2580
 4096  8192     0     0  1.08204e+00  2.27091e-02 -1.49623e-02  5162
 4096  8192     0     0  2.41968e+00  2.05360e-02  1.74876e-02   532
 4096  8192     0     0  1.81059e+00  2.37575e-02 -1.70897e-02  2598
 4096  8192     0     0  3.11751e-01  1.93222e-02  1.65990e-02  5062
 4096  8192     0     0  9.26547e-01  2.54170e-02 -1.56495e-02   576
 4096  8192     0     0  4.08841e-01  1.94195e-02  1.46119e-02  2380
 4096  8192     0     0  1.65712e+01  2.30008e-02 -1.95603e-02  7060
 4096  8192     0     0  2.40968e+00  2.21368e-02 -1.85319e-02  6804
 4096  8192     0     0  6.42143e-01  2.38266e-02  1.94417e-02  2580
 4096  8192     0     0  2.34740e+00  2.02839e-02  1.61721e-02   608
 4096  8192     0     0  3.30293e-01  2.27535e-02 -1.94718e-02  7410
 4096  8192     0     0  5.55182e-01  2.20079e-02  1.50233e-02  2624
 4096  8192     0     0  1.25534e+00  2.26608e-02  1.81394e-02  1172
 4096  8192     0     0  1.99599e+00  1.97517e-02 -1.56425e-02  2668
 4096  8192     0     0  3.23667e-01  1.99983e-02  1.72240e-02  1080
 4096  8192     0     0  5.58617e-01  2.14580e-02 -1.74552e-02  4346
 4096  8192     0     0  5.52816e-01  2.24413e-02  1.71400e-02   550
 4096  8192     0     0  3.05634e-01  2.25357e-02  1.82288e-02  5144
 4096  8192     0     0  2.39009e-01  2.24868e-02  1.65655e-02  1194
 4096  8192     0     0  4.64921e-01  2.03378e-02 -1.75267e-02  3896
 4096  8192     0     0  5.81016e-01  2.16741e-02  1.92273e-02  1168
 4096  8192     0     0  2.47656e-01  2.09077e-02 -1.91224e-02  5890
 4096  8192     0     0  4.45063e-01  2.18108e-02  1.89572e-02  1688
 4096  8192     0     0  4.17229e-01  2.12141e-02  2.19101e-02  5030
 4096  8192     0     0  8.43244e-01  2.27476e-02 -2.08869e-02  1728
 4096  8192     0     0  3.22388e-01  2.18940e-02 -1.83666e-02  3564
 4096  8192     0     0  3.28529e-01  2.10988e-02 -1.73269e-02  6328
 4096  8192     0     0  4.56539e-01  2.17163e-02  1.94461e-02  5030
 4096  8192     0     0  3.96367e-01  2.05710e-02  2.19108e-02  7046
 4096  8192     0     0  1.03315e+00  2.25692e-02 -1.91123e-02  3082
 4096  8192     0     0  4.96845e-01  2.24689e-02  1.85396e-02  2424
 4096  8192     0     0  4.36540e+00  2.28106e-02  1.88268e-02  2580
 4096  8192     0     0  6.09671e-01  2.04619e-02  1.79687e-02  2982
 4096  8192     0     0  8.25580e-01  2.23999e-02  2.62969e-02  5144
 4096  8192     0     0  6.34571e-01  2.04486e-02 -1.99056e-02  1490
 4096  8192     0     0  3.55253e-01  2.26088e-02  1.99304e-02  1176
 4096  8192     0     0  8.21401e-01  2.22883e-02 -1.80495e-02   770
 4096  8192     0     0  8.27452e-01  2.22023e-02 -1.65262e-02  1820
 4096  8192     0     0  4.42406e-01  2.27046e-02  1.92292e-02  5144
 4096  8192     0     0  8.65798e-01  2.22643e-02  1.82794e-02  7078
 4096  8192     0     0  2.68426e-01  1.86598e-02  2.11265e-02  2380
 4096  8192     0     0  3.98919e-01  2.27655e-02 -1.91111e-02  1790
 4096  8192     0     0  3.19287e-01  2.26706e-02 -2.01433e-02  6786
 4096  8192     0     0  2.69086e-01  2.28611e-02  2.11189e-02  5908
 4096  8192     0     0  4.59655e-01  2.35756e-02  1.80013e-02  5908
 4096  8192     0     0  5.25502e-01  2.16449e-02  2.06529e-02  3494
 4096  8192     0     0  1.67943e+00  2.15436e-02  1.56830e-02  1534
 4096  8192     0     0  5.60339e-01  2.15153e-02 -1.97797e-02  5094
 4096  8192     0     0  4.37768e-01  2.35420e-02  1.90356e-02  4812
 4096  8192     0     0  8.50304e-01  2.35285e-02 -1.95039e-02  5184
 4096  8192     0     0  7.57706e-01  2.11560e-02  1.80766e-02  5144
 4096  8192     0     0  1.26336e+00  2.17793e-02  2.38533e-02  5952
 4096  8192     0     0  5.98356e-01  2.03439e-02 -1.88622e-02  6274
 4096  8192     0     0  6.45486e-01  2.20768e-02 -1.67368e-02  3392
 4096  8192     0     0  6.73500e-01  2.16804e-02  1.73267e-02  7046
 4096  8192     0     0  9.75224e+00  2.19476e-02  1.96302e-02   276
 4096  8192     0     0  7.87742e-01  2.12785e-02  2.05741e-02  1690
 4096  8192     0     0  9.38126e-01  2.28752e-02 -1.84924e-02  3530
 4096  8192     0     0  3.02812e-01  2.20495e-02  2.37239e-02  1472
 4096  8192     0     0  9.35633e-01  2.13920e-02  1.91186e-02  1430
 4096  8192     0     0  8.09117e+00  2.22826e-02  2.09465e-02  5030
 4096  8192     0     0  4.41147e-01  2.20780e-02  2.16800e-02  1516
 4096  8192     0     0  1.24320e+00  2.27868e-02  1.84442e-02  5030
 4096  8192     0     0  3.75636e-01  2.43741e-02  1.98983e-02  5144
 4096  8192     0     0  4.95840e-01  2.27020e-02  1.87605e-02  7646
