00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Thu Aug  1 22:48:44 2024
00001  0.26986 0.00000 0.00000 10240000 0         0       : Thu Aug  1 22:51:12 2024
00002  0.26927 0.00000 0.00000 2129920  0         0       : Thu Aug  1 22:53:08 2024
00003  0.26870 0.00000 0.00000 2129920  0         0       : Thu Aug  1 22:55:05 2024
00004  0.27019 0.00000 0.00000 2129920  0         0       : Thu Aug  1 22:57:02 2024
00005  0.26918 0.00000 0.00000 2129920  0         0       : Thu Aug  1 22:58:58 2024
00006  0.26929 0.00000 0.00000 2129920  0         0       : Thu Aug  1 23:00:55 2024
00007  0.26923 0.00000 0.00000 2129920  0         0       : Thu Aug  1 23:02:51 2024
00008  0.26910 0.00000 0.00000 2129920  0         0       : Thu Aug  1 23:04:47 2024
00009  0.26969 0.00000 0.00000 2129920  0         0       : Thu Aug  1 23:06:44 2024
00010  0.26956 0.00000 0.00000 2129920  0         0       : Thu Aug  1 23:08:40 2024
