00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Jul 31 07:47:13 2024
00001  0.27045 0.00000 0.00000 10240000 0         0       : Wed Jul 31 07:49:41 2024
00002  0.26930 0.00000 0.00000 2129920  0         0       : Wed Jul 31 07:51:37 2024
00003  0.27056 0.00000 0.00000 2129920  0         0       : Wed Jul 31 07:53:35 2024
00004  0.27010 0.00000 0.00000 2129920  0         0       : Wed Jul 31 07:55:33 2024
00005  0.27022 0.00000 0.00000 2129920  0         0       : Wed Jul 31 07:57:28 2024
00006  0.26991 0.00000 0.00000 2129920  0         0       : Wed Jul 31 07:59:26 2024
00007  0.26985 0.00000 0.00000 2129920  0         0       : Wed Jul 31 08:01:22 2024
00008  0.27056 0.00000 0.00000 2129920  0         0       : Wed Jul 31 08:03:19 2024
00009  0.27014 0.00000 0.00000 2129920  0         0       : Wed Jul 31 08:05:15 2024
00010  0.27094 0.00000 0.00000 2129920  0         0       : Wed Jul 31 08:07:11 2024
