#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 5130 10258     0     2  7.81595e+03  0.00000e+00 -2.74456e-03  1784
 5130 10258     0     2  7.62841e+03  0.00000e+00 -1.77382e-03  1750
 5130 10258     0     2  7.98059e+03  0.00000e+00 -3.03832e-03  1784
 5130 10258     0     2  7.93539e+03  0.00000e+00 -1.54335e-03  1598
 5130 10258     0     2  7.83049e+03  0.00000e+00 -1.84416e-03  1784
 5130 10258     0     2  7.64620e+03  0.00000e+00 -1.59103e-03  1650
 5130 10258     0     2  7.96354e+03  0.00000e+00  1.52314e-03  1752
 5130 10258     0     2  7.69558e+03  0.00000e+00 -1.38232e-03  1610
 5130 10258     0     2  7.77529e+03  0.00000e+00  3.00335e-03  1784
 5130 10258     0     2  7.86258e+03  0.00000e+00 -1.64369e-03  1694
 5130 10258     0     2  7.64475e+03  0.00000e+00 -3.06832e-03  1784
 5130 10258     0     2  7.69520e+03  0.00000e+00  1.90228e-03  1784
 5130 10258     0     2  7.82372e+03  0.00000e+00 -2.37259e-03  1784
 5130 10258     0     2  7.65803e+03  0.00000e+00  1.70569e-03  1680
 5130 10258     0     2  7.73896e+03  0.00000e+00  2.07746e-03  1560
 5130 10258     0     2  7.66678e+03  0.00000e+00 -2.05126e-03  1784
 5130 10258     0     2  7.77439e+03  0.00000e+00  2.11888e-03  1784
 5130 10258     0     2  7.76850e+03  0.00000e+00 -2.09549e-03  1784
 5130 10258     0     2  7.89231e+03  0.00000e+00 -3.18149e-03  1784
 5130 10258     0     2  7.67708e+03  0.00000e+00  2.23161e-03  1784
 5130 10258     0     2  7.96922e+03  0.00000e+00 -1.98432e-03  1784
 5130 10258     0     2  9.42588e+03  0.00000e+00  1.77153e-03  1708
 5130 10258     0     2  7.73929e+03  0.00000e+00  1.50052e-03  1768
 5130 10258     0     2  7.92937e+03  0.00000e+00 -1.87937e-03  1622
 5130 10258     0     2  7.75103e+03  0.00000e+00 -2.73791e-03  1784
 5130 10258     0     2  7.84609e+03  0.00000e+00 -1.75909e-03  1784
 5130 10258     0     2  7.89012e+03  0.00000e+00 -1.53640e-03  1632
 5130 10258     0     2  7.90467e+03  0.00000e+00  1.58854e-03  1726
 5130 10258     0     2  7.77820e+03  0.00000e+00 -2.06376e-03  1688
 5130 10258     0     2  7.78520e+03  0.00000e+00 -1.80637e-03  1784
