00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  2 20:29:15 2024
00001  0.26944 0.00000 0.00000 10240000 0         0       : Fri Aug  2 20:31:46 2024
00002  0.26968 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:33:45 2024
00003  0.26940 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:35:44 2024
00004  0.26845 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:37:45 2024
00005  0.27022 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:39:43 2024
00006  0.26975 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:41:44 2024
00007  0.26857 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:43:42 2024
00008  0.26884 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:45:42 2024
00009  0.26979 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:47:40 2024
00010  0.26892 0.00000 0.00000 2129920  0         0       : Fri Aug  2 20:49:37 2024
