00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Sun Aug  4 00:49:50 2024
00001  0.26966 0.00000 0.00000 10240000 0         0       : Sun Aug  4 00:52:19 2024
00002  0.26964 0.00000 0.00000 2129920  0         0       : Sun Aug  4 00:54:17 2024
00003  0.26917 0.00000 0.00000 2129920  0         0       : Sun Aug  4 00:56:14 2024
00004  0.26930 0.00000 0.00000 2129920  0         0       : Sun Aug  4 00:58:11 2024
00005  0.26954 0.00000 0.00000 2129920  0         0       : Sun Aug  4 01:00:07 2024
00006  0.26842 0.00000 0.00000 2129920  0         0       : Sun Aug  4 01:02:03 2024
00007  0.26899 0.00000 0.00000 2129920  0         0       : Sun Aug  4 01:04:00 2024
00008  0.26908 0.00000 0.00000 2129920  0         0       : Sun Aug  4 01:05:56 2024
00009  0.26976 0.00000 0.00000 2129920  0         0       : Sun Aug  4 01:07:54 2024
00010  0.26924 0.00000 0.00000 2129920  0         0       : Sun Aug  4 01:09:50 2024
