00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Mon Aug  5 00:50:03 2024
00001  0.17853 0.00000 0.00000 231014400 0         0       : Mon Aug  5 00:51:00 2024
00002  0.17810 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:11 2024
00003  0.17837 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:16 2024
00004  0.17839 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:22 2024
00005  0.17932 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:28 2024
00006  0.17888 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:33 2024
00007  0.17842 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:39 2024
00008  0.17862 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:45 2024
00009  0.17960 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:50 2024
00010  0.17839 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:51:56 2024
00011  0.17784 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:02 2024
00012  0.17882 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:08 2024
00013  0.17957 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:14 2024
00014  0.17808 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:19 2024
00015  0.17695 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:25 2024
00016  0.17809 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:30 2024
00017  0.17828 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:36 2024
00018  0.17976 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:41 2024
00019  0.17874 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:46 2024
00020  0.17840 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:52 2024
00021  0.17797 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:52:57 2024
00022  0.17861 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:03 2024
00023  0.18003 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:08 2024
00024  0.17747 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:13 2024
00025  0.17893 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:19 2024
00026  0.17890 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:25 2024
00027  0.17767 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:30 2024
00028  0.17821 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:36 2024
00029  0.17834 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:42 2024
00030  0.17843 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:47 2024
00031  0.17788 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:52 2024
00032  0.17892 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:53:58 2024
00033  0.17860 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:03 2024
00034  0.17825 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:08 2024
00035  0.17888 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:14 2024
00036  0.17826 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:19 2024
00037  0.17751 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:24 2024
00038  0.17861 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:29 2024
00039  0.17831 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:35 2024
00040  0.17891 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:40 2024
00041  0.17820 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:45 2024
00042  0.17751 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:51 2024
00043  0.17831 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:54:56 2024
00044  0.17888 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:01 2024
00045  0.17849 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:06 2024
00046  0.17807 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:12 2024
00047  0.17905 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:17 2024
00048  0.17916 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:22 2024
00049  0.17901 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:28 2024
00050  0.17865 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:33 2024
00051  0.17822 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:39 2024
00052  0.17920 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:44 2024
00053  0.17813 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:49 2024
00054  0.17826 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:55:54 2024
00055  0.17897 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:00 2024
00056  0.17948 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:05 2024
00057  0.17880 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:10 2024
00058  0.17731 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:15 2024
00059  0.17944 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:21 2024
00060  0.17804 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:26 2024
00061  0.17885 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:31 2024
00062  0.17827 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:36 2024
00063  0.17830 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:42 2024
00064  0.17864 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:47 2024
00065  0.17798 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:52 2024
00066  0.17859 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:56:57 2024
00067  0.17945 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:03 2024
00068  0.17813 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:08 2024
00069  0.17894 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:13 2024
00070  0.17872 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:19 2024
00071  0.17978 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:24 2024
00072  0.17866 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:29 2024
00073  0.17910 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:35 2024
00074  0.17877 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:40 2024
00075  0.17882 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:45 2024
00076  0.17899 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:51 2024
00077  0.17845 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:57:56 2024
00078  0.17916 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:01 2024
00079  0.17779 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:06 2024
00080  0.17752 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:12 2024
00081  0.17762 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:17 2024
00082  0.17770 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:22 2024
00083  0.17899 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:28 2024
00084  0.17963 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:33 2024
00085  0.17794 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:38 2024
00086  0.17920 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:43 2024
00087  0.17924 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:48 2024
00088  0.17880 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:54 2024
00089  0.17803 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:58:59 2024
00090  0.17774 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:04 2024
00091  0.17923 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:09 2024
00092  0.17810 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:14 2024
00093  0.17924 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:20 2024
00094  0.17957 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:25 2024
00095  0.17850 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:30 2024
00096  0.17735 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:35 2024
00097  0.17917 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:41 2024
00098  0.17814 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:46 2024
00099  0.17829 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:51 2024
00100  0.17891 0.00000 0.00000 1654784  0         0       : Mon Aug  5 00:59:56 2024
00101  0.17810 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:01 2024
00102  0.17959 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:07 2024
00103  0.17947 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:12 2024
00104  0.17849 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:18 2024
00105  0.17905 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:23 2024
00106  0.17925 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:28 2024
00107  0.17883 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:33 2024
00108  0.17902 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:39 2024
00109  0.17820 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:44 2024
00110  0.17889 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:49 2024
00111  0.17930 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:54 2024
00112  0.18038 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:00:59 2024
00113  0.17905 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:04 2024
00114  0.17918 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:10 2024
00115  0.17887 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:15 2024
00116  0.17825 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:20 2024
00117  0.17754 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:25 2024
00118  0.17967 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:30 2024
00119  0.17820 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:35 2024
00120  0.17913 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:41 2024
00121  0.17894 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:46 2024
00122  0.17763 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:51 2024
00123  0.17981 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:01:56 2024
00124  0.17854 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:01 2024
00125  0.17979 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:07 2024
00126  0.17863 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:12 2024
00127  0.17738 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:17 2024
00128  0.17886 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:22 2024
00129  0.17848 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:27 2024
00130  0.17886 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:33 2024
00131  0.17880 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:39 2024
00132  0.17861 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:44 2024
00133  0.17764 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:49 2024
00134  0.17878 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:02:55 2024
00135  0.17871 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:00 2024
00136  0.17900 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:05 2024
00137  0.17875 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:10 2024
00138  0.17775 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:15 2024
00139  0.17841 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:20 2024
00140  0.17977 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:26 2024
00141  0.17806 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:31 2024
00142  0.17862 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:36 2024
00143  0.17872 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:41 2024
00144  0.17868 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:47 2024
00145  0.17866 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:52 2024
00146  0.17739 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:03:57 2024
00147  0.17867 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:02 2024
00148  0.17993 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:08 2024
00149  0.17807 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:13 2024
00150  0.17870 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:18 2024
00151  0.18000 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:24 2024
00152  0.17889 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:29 2024
00153  0.17985 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:34 2024
00154  0.17900 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:39 2024
00155  0.17925 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:44 2024
00156  0.17872 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:49 2024
00157  0.17919 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:04:55 2024
00158  0.17886 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:00 2024
00159  0.18019 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:05 2024
00160  0.17948 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:10 2024
00161  0.17861 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:15 2024
