00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Sun Aug  4 02:28:02 2024
00001  0.17106 0.00000 0.00000 231014400 0         0       : Sun Aug  4 02:29:03 2024
00002  0.17268 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:13 2024
00003  0.17075 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:19 2024
00004  0.17055 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:25 2024
00005  0.17232 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:31 2024
00006  0.17122 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:36 2024
00007  0.17133 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:42 2024
00008  0.17123 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:48 2024
00009  0.17183 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:53 2024
00010  0.17020 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:29:58 2024
00011  0.17105 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:04 2024
00012  0.17185 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:09 2024
00013  0.17118 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:15 2024
00014  0.17157 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:20 2024
00015  0.17198 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:25 2024
00016  0.17171 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:31 2024
00017  0.17180 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:36 2024
00018  0.17176 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:41 2024
00019  0.17252 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:47 2024
00020  0.17136 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:52 2024
00021  0.17263 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:30:57 2024
00022  0.17147 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:03 2024
00023  0.17117 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:08 2024
00024  0.17254 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:13 2024
00025  0.17213 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:18 2024
00026  0.17160 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:24 2024
00027  0.17244 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:30 2024
00028  0.17243 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:35 2024
00029  0.17111 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:40 2024
00030  0.17086 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:45 2024
00031  0.17205 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:51 2024
00032  0.17173 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:31:56 2024
00033  0.17184 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:02 2024
00034  0.17029 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:07 2024
00035  0.17166 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:13 2024
00036  0.17185 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:18 2024
00037  0.17193 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:24 2024
00038  0.17268 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:29 2024
00039  0.17274 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:34 2024
00040  0.17224 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:40 2024
00041  0.17111 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:45 2024
00042  0.17144 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:50 2024
00043  0.17024 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:32:55 2024
00044  0.17181 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:01 2024
00045  0.17191 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:06 2024
00046  0.17193 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:11 2024
00047  0.17274 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:17 2024
00048  0.17241 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:22 2024
00049  0.17327 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:27 2024
00050  0.17190 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:33 2024
00051  0.17117 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:38 2024
00052  0.17174 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:43 2024
00053  0.17105 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:48 2024
00054  0.17214 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:54 2024
00055  0.17171 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:33:59 2024
00056  0.17112 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:04 2024
00057  0.17245 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:09 2024
00058  0.17187 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:15 2024
00059  0.17249 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:20 2024
00060  0.17159 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:25 2024
00061  0.17185 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:30 2024
00062  0.17200 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:36 2024
00063  0.17212 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:41 2024
00064  0.17301 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:46 2024
00065  0.17223 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:52 2024
00066  0.17229 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:34:57 2024
00067  0.17167 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:02 2024
00068  0.17272 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:08 2024
00069  0.17259 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:13 2024
00070  0.17258 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:18 2024
00071  0.17425 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:24 2024
00072  0.17204 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:29 2024
00073  0.17147 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:34 2024
00074  0.17190 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:39 2024
00075  0.17272 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:44 2024
00076  0.17134 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:50 2024
00077  0.17213 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:35:55 2024
00078  0.17267 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:00 2024
00079  0.17228 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:06 2024
00080  0.17213 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:11 2024
00081  0.17301 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:16 2024
00082  0.17156 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:21 2024
00083  0.17324 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:26 2024
00084  0.17260 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:31 2024
00085  0.17332 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:37 2024
00086  0.17222 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:42 2024
00087  0.17344 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:47 2024
00088  0.17242 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:53 2024
00089  0.17160 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:36:58 2024
00090  0.17191 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:04 2024
00091  0.17237 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:09 2024
00092  0.17221 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:15 2024
00093  0.17180 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:20 2024
00094  0.17184 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:25 2024
00095  0.17312 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:30 2024
00096  0.17316 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:36 2024
00097  0.17376 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:41 2024
00098  0.17253 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:46 2024
00099  0.17179 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:52 2024
00100  0.17213 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:37:57 2024
00101  0.17356 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:02 2024
00102  0.17297 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:08 2024
00103  0.17154 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:13 2024
00104  0.17233 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:18 2024
00105  0.17233 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:23 2024
00106  0.17231 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:29 2024
00107  0.17256 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:34 2024
00108  0.17297 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:39 2024
00109  0.17186 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:44 2024
00110  0.17246 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:50 2024
00111  0.17320 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:38:55 2024
00112  0.17386 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:01 2024
00113  0.17299 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:06 2024
00114  0.17305 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:11 2024
00115  0.17309 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:16 2024
00116  0.17305 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:21 2024
00117  0.17272 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:27 2024
00118  0.17231 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:32 2024
00119  0.17392 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:37 2024
00120  0.17210 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:43 2024
00121  0.17266 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:48 2024
00122  0.17329 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:53 2024
00123  0.17318 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:39:58 2024
00124  0.17250 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:04 2024
00125  0.17391 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:09 2024
00126  0.17350 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:14 2024
00127  0.17316 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:19 2024
00128  0.17459 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:25 2024
00129  0.17299 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:30 2024
00130  0.17325 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:35 2024
00131  0.17230 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:40 2024
00132  0.17327 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:45 2024
00133  0.17198 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:51 2024
00134  0.17356 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:40:56 2024
00135  0.17396 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:01 2024
00136  0.17366 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:06 2024
00137  0.17371 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:12 2024
00138  0.17383 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:17 2024
00139  0.17267 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:22 2024
00140  0.17351 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:27 2024
00141  0.17350 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:32 2024
00142  0.17293 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:38 2024
00143  0.17368 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:43 2024
00144  0.17361 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:48 2024
00145  0.17358 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:53 2024
00146  0.17325 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:41:58 2024
00147  0.17420 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:04 2024
00148  0.17339 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:09 2024
00149  0.17400 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:15 2024
00150  0.17271 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:20 2024
00151  0.17442 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:25 2024
00152  0.17347 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:31 2024
00153  0.17276 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:36 2024
00154  0.17481 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:42 2024
00155  0.17315 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:47 2024
00156  0.17286 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:52 2024
00157  0.17319 0.00000 0.00000 1654784  0         0       : Sun Aug  4 02:42:57 2024
