00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Tue Aug  6 13:21:50 2024
00001  0.19086 0.00000 0.00000 10240000 0         0       : Tue Aug  6 13:24:17 2024
00002  0.19209 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:26:14 2024
00003  0.19025 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:28:11 2024
00004  0.19032 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:30:08 2024
00005  0.19064 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:32:05 2024
00006  0.19050 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:34:03 2024
00007  0.19072 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:36:00 2024
00008  0.19019 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:37:58 2024
00009  0.18967 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:39:56 2024
00010  0.19130 0.00000 0.00000 2129920  0         0       : Tue Aug  6 13:41:53 2024
