00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Mon Aug  5 07:17:35 2024
00001  0.12072 0.00000 0.00000 45056000 0         0       : Mon Aug  5 07:28:22 2024
00002  0.12133 0.00000 0.00000 4177920  0         0       : Mon Aug  5 07:36:07 2024
00003  0.12177 0.00000 0.00000 4177920  0         0       : Mon Aug  5 07:43:58 2024
00004  0.12056 0.00000 0.00000 4177920  0         0       : Mon Aug  5 07:51:46 2024
00005  0.12099 0.00000 0.00000 4177920  0         0       : Mon Aug  5 07:59:35 2024
00006  0.11997 0.00000 0.00000 4177920  0         0       : Mon Aug  5 08:07:33 2024
00007  0.12136 0.00000 0.00000 4177920  0         0       : Mon Aug  5 08:15:17 2024
00008  0.12044 0.00000 0.00000 4177920  0         0       : Mon Aug  5 08:22:49 2024
00009  0.12098 0.00000 0.00000 4177920  0         0       : Mon Aug  5 08:30:29 2024
00010  0.12115 0.00000 0.00000 4177920  0         0       : Mon Aug  5 08:38:13 2024
00011  0.12147 0.00000 0.00000 4177920  0         0       : Mon Aug  5 08:46:05 2024
00012  0.12046 0.00000 0.00000 4177920  0         0       : Mon Aug  5 08:53:48 2024
00013  0.12145 0.00000 0.00000 4177920  0         0       : Mon Aug  5 09:01:35 2024
00014  0.12031 0.00000 0.00000 4177920  0         0       : Mon Aug  5 09:09:22 2024
00015  0.12075 0.00000 0.00000 4177920  0         0       : Mon Aug  5 09:17:00 2024
00016  0.11911 0.00000 0.00000 4177920  0         0       : Mon Aug  5 09:24:56 2024
00017  0.11947 0.00000 0.00000 4177920  0         0       : Mon Aug  5 09:32:40 2024
00018  0.11978 0.00000 0.00000 4177920  0         0       : Mon Aug  5 09:40:26 2024
00019  0.12169 0.00000 0.00000 4177920  0         0       : Mon Aug  5 09:48:14 2024
00020  0.11986 0.00000 0.00000 4177920  0         0       : Mon Aug  5 09:56:04 2024
00021  0.12178 0.00000 0.00000 4177920  0         0       : Mon Aug  5 10:03:51 2024
00022  0.12097 0.00000 0.00000 4177920  0         0       : Mon Aug  5 10:11:34 2024
00023  0.12091 0.00000 0.00000 4177920  0         0       : Mon Aug  5 10:19:13 2024
00024  0.12053 0.00000 0.00000 4177920  0         0       : Mon Aug  5 10:26:49 2024
00025  0.12115 0.00000 0.00000 4177920  0         0       : Mon Aug  5 10:34:49 2024
00026  0.12042 0.00000 0.00000 4177920  0         0       : Mon Aug  5 10:42:35 2024
00027  0.12012 0.00000 0.00000 4177920  0         0       : Mon Aug  5 10:50:30 2024
00028  0.12028 0.00000 0.00000 4177920  0         0       : Mon Aug  5 10:58:13 2024
00029  0.11993 0.00000 0.00000 4177920  0         0       : Mon Aug  5 11:06:16 2024
00030  0.12220 0.00000 0.00000 4177920  0         0       : Mon Aug  5 11:13:52 2024
00031  0.12080 0.00000 0.00000 4177920  0         0       : Mon Aug  5 11:21:40 2024
00032  0.12010 0.00000 0.00000 4177920  0         0       : Mon Aug  5 11:29:46 2024
00033  0.11887 0.00000 0.00000 4177920  0         0       : Mon Aug  5 11:37:42 2024
00034  0.12116 0.00000 0.00000 4177920  0         0       : Mon Aug  5 11:45:27 2024
00035  0.12027 0.00000 0.00000 4177920  0         0       : Mon Aug  5 11:53:17 2024
00036  0.12124 0.00000 0.00000 4177920  0         0       : Mon Aug  5 12:01:13 2024
00037  0.12088 0.00000 0.00000 4177920  0         0       : Mon Aug  5 12:09:07 2024
00038  0.12100 0.00000 0.00000 4177920  0         0       : Mon Aug  5 12:16:47 2024
00039  0.12048 0.00000 0.00000 4177920  0         0       : Mon Aug  5 12:24:35 2024
00040  0.12102 0.00000 0.00000 4177920  0         0       : Mon Aug  5 12:32:20 2024
00041  0.12054 0.00000 0.00000 4177920  0         0       : Mon Aug  5 12:40:08 2024
00042  0.11986 0.00000 0.00000 4177920  0         0       : Mon Aug  5 12:48:02 2024
00043  0.12112 0.00000 0.00000 4177920  0         0       : Mon Aug  5 12:55:50 2024
00044  0.12131 0.00000 0.00000 4177920  0         0       : Mon Aug  5 13:03:35 2024
00045  0.12201 0.00000 0.00000 4177920  0         0       : Mon Aug  5 13:11:20 2024
00046  0.12140 0.00000 0.00000 4177920  0         0       : Mon Aug  5 13:19:04 2024
00047  0.12133 0.00000 0.00000 4177920  0         0       : Mon Aug  5 13:26:58 2024
00048  0.12071 0.00000 0.00000 4177920  0         0       : Mon Aug  5 13:34:50 2024
00049  0.12128 0.00000 0.00000 4177920  0         0       : Mon Aug  5 13:42:25 2024
00050  0.12163 0.00000 0.00000 4177920  0         0       : Mon Aug  5 13:50:25 2024
00051  0.12047 0.00000 0.00000 4177920  0         0       : Mon Aug  5 13:58:16 2024
00052  0.11976 0.00000 0.00000 4177920  0         0       : Mon Aug  5 14:05:58 2024
00053  0.12031 0.00000 0.00000 4177920  0         0       : Mon Aug  5 14:13:50 2024
00054  0.12015 0.00000 0.00000 4177920  0         0       : Mon Aug  5 14:21:41 2024
00055  0.12208 0.00000 0.00000 4177920  0         0       : Mon Aug  5 14:29:17 2024
00056  0.12072 0.00000 0.00000 4177920  0         0       : Mon Aug  5 14:37:07 2024
00057  0.12063 0.00000 0.00000 4177920  0         0       : Mon Aug  5 14:44:52 2024
00058  0.12084 0.00000 0.00000 4177920  0         0       : Mon Aug  5 14:52:40 2024
00059  0.12123 0.00000 0.00000 4177920  0         0       : Mon Aug  5 15:00:18 2024
00060  0.12049 0.00000 0.00000 4177920  0         0       : Mon Aug  5 15:07:56 2024
00061  0.12107 0.00000 0.00000 4177920  0         0       : Mon Aug  5 15:15:43 2024
00062  0.11984 0.00000 0.00000 4177920  0         0       : Mon Aug  5 15:23:29 2024
00063  0.12009 0.00000 0.00000 4177920  0         0       : Mon Aug  5 15:31:25 2024
00064  0.11897 0.00000 0.00000 4177920  0         0       : Mon Aug  5 15:39:16 2024
