00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  9 23:56:28 2024
00001  0.02748 0.00000 0.00000 3276800  0         0       : Fri Aug  9 23:56:55 2024
00002  0.01652 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:03 2024
00003  0.01599 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:06 2024
00004  0.01663 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:10 2024
00005  0.01667 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:13 2024
00006  0.01645 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:16 2024
00007  0.01705 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:19 2024
00008  0.01664 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:22 2024
00009  0.01654 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:25 2024
00010  0.01609 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:28 2024
00011  0.01712 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:32 2024
00012  0.01643 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:35 2024
00013  0.01633 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:38 2024
00014  0.01647 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:41 2024
00015  0.01641 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:44 2024
00016  0.01616 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:47 2024
00017  0.01663 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:51 2024
00018  0.01659 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:54 2024
00019  0.01646 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:57:57 2024
00020  0.01606 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:00 2024
00021  0.01677 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:03 2024
00022  0.01659 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:06 2024
00023  0.01629 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:09 2024
00024  0.01690 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:12 2024
00025  0.01625 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:16 2024
00026  0.01646 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:19 2024
00027  0.01651 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:22 2024
00028  0.01603 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:25 2024
00029  0.01689 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:28 2024
00030  0.01662 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:31 2024
00031  0.01620 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:34 2024
00032  0.01602 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:37 2024
00033  0.01653 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:40 2024
00034  0.01647 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:43 2024
00035  0.01675 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:46 2024
00036  0.01639 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:50 2024
00037  0.01591 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:53 2024
00038  0.01570 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:56 2024
00039  0.01633 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:58:59 2024
00040  0.01590 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:02 2024
00041  0.01590 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:05 2024
00042  0.01627 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:08 2024
00043  0.01648 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:11 2024
00044  0.01698 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:14 2024
00045  0.01681 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:17 2024
00046  0.01632 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:20 2024
00047  0.01709 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:23 2024
00048  0.01630 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:26 2024
00049  0.01648 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:30 2024
00050  0.01615 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:33 2024
00051  0.01690 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:36 2024
00052  0.01631 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:39 2024
00053  0.01587 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:42 2024
00054  0.01634 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:45 2024
00055  0.01608 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:48 2024
00056  0.01677 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:51 2024
00057  0.01666 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:54 2024
00058  0.01603 0.00000 0.00000 1654784  0         0       : Fri Aug  9 23:59:57 2024
00059  0.01685 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:00 2024
00060  0.01614 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:03 2024
00061  0.01674 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:06 2024
00062  0.01671 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:09 2024
00063  0.01652 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:13 2024
00064  0.01657 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:16 2024
00065  0.01677 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:19 2024
00066  0.01580 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:22 2024
00067  0.01555 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:25 2024
00068  0.01707 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:28 2024
00069  0.01651 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:31 2024
00070  0.01695 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:34 2024
00071  0.01626 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:37 2024
00072  0.01650 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:40 2024
00073  0.01604 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:43 2024
00074  0.01587 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:46 2024
00075  0.01654 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:49 2024
00076  0.01588 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:53 2024
00077  0.01711 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:56 2024
00078  0.01653 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:00:59 2024
00079  0.01615 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:02 2024
00080  0.01598 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:05 2024
00081  0.01597 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:08 2024
00082  0.01631 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:11 2024
00083  0.01594 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:14 2024
00084  0.01665 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:17 2024
00085  0.01642 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:01:20 2024
